dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.726251,0.116156,6.733597,20.091339,29.987073,0.000000,0.034992
0.010000,6.928536,0.123349,6.936010,20.391210,29.987073,-0.000000,0.036087
0.010000,7.133810,0.130874,7.141421,20.691080,29.987073,0.000000,0.037202
0.010000,7.342071,0.138744,7.349832,20.990951,29.987073,0.000000,0.038336
0.010000,7.553320,0.146968,7.561240,21.290822,29.987073,-0.000000,0.039488
0.010000,7.767555,0.155558,7.775648,21.590692,29.987073,0.000000,0.040660
0.010000,7.984777,0.164524,7.993054,21.890563,29.987073,-0.000000,0.041852
0.010000,8.204983,0.173879,8.213459,22.190434,29.987073,0.000000,0.043063
0.010000,8.428174,0.183634,8.436863,22.490305,29.987073,0.000000,0.044293
0.010000,8.654348,0.193800,8.663265,22.790175,29.987073,0.000000,0.045543
0.010000,8.883504,0.204390,8.892666,23.090046,29.987073,0.000000,0.046813
0.010000,9.115642,0.215415,9.125066,23.389917,29.987073,-0.000000,0.048104
0.010000,9.350761,0.226888,9.360465,23.689788,29.987073,0.000000,0.049414
0.010000,9.588859,0.238822,9.598862,23.989658,29.987073,0.000000,0.050745
0.010000,9.829936,0.251229,9.840258,24.289529,29.987073,-0.000000,0.052096
0.010000,10.073991,0.264122,10.084653,24.589400,29.987073,0.000000,0.053468
0.010000,10.321021,0.277515,10.332046,24.889271,29.987073,-0.000000,0.054860
0.010000,10.571027,0.291422,10.582438,25.189141,29.987073,0.000000,0.056274
0.010000,10.824006,0.305855,10.835829,25.489012,29.987073,-0.000000,0.057708
0.010000,11.079958,0.320829,11.092218,25.788883,29.987073,0.000000,0.059164
0.010000,11.338881,0.336357,11.351606,26.088753,29.987073,-0.000000,0.060641
0.010000,11.600773,0.352455,11.613993,26.388624,29.987073,0.000000,0.062140
0.010000,11.865634,0.369137,11.879379,26.688495,29.987073,-0.000000,0.063660
0.010000,12.133461,0.386417,12.147763,26.988366,29.987073,0.000000,0.065203
0.010000,12.404254,0.404311,12.419146,27.288236,29.987073,-0.000000,0.066767
0.010000,12.678010,0.422834,12.693528,27.588107,29.987073,0.000000,0.068354
0.010000,12.954727,0.442002,12.970908,27.887978,29.987073,-0.000000,0.069963
0.010000,13.234404,0.461830,13.251288,28.187849,29.987073,0.000000,0.071595
0.010000,13.517039,0.482335,13.534665,28.487719,29.987073,-0.000000,0.073249
0.010000,13.802630,0.503532,13.821042,28.787590,29.987073,0.000000,0.074926
0.010000,14.091175,0.525439,14.110417,29.087461,29.987073,-0.000000,0.076627
0.010000,14.382671,0.548072,14.402791,29.387331,29.987073,0.000000,0.078351
0.010000,14.677118,0.571448,14.698164,29.687202,29.987073,0.000000,0.080098
0.010000,14.974511,0.595585,14.996535,29.987073,29.987073,0.000000,0.081869
0.010000,15.274849,0.620499,15.297905,30.286944,29.987073,-0.000000,0.083664
0.010000,15.578130,0.646210,15.602274,30.586814,29.987073,0.000000,0.085483
0.010000,15.884351,0.672735,15.909642,30.886685,29.987073,-0.000000,0.087326
0.010000,16.193509,0.700092,16.220008,31.186556,29.987073,0.000000,0.089194
0.010000,16.505602,0.728300,16.533373,31.486427,29.987073,-0.000000,0.091086
0.010000,16.820626,0.757379,16.849736,31.786297,29.987073,0.000000,0.093004
0.010000,17.138579,0.787346,17.169099,32.086168,29.987073,-0.000000,0.094946
0.010000,17.459458,0.818223,17.491460,32.386039,29.987073,-0.000000,0.096914
0.010000,17.783260,0.850028,17.816819,32.685909,29.987073,0.000000,0.098907
0.010000,18.109980,0.882782,18.145178,32.985780,29.987073,0.000000,0.100926
0.010000,18.439617,0.916504,18.476535,33.285651,29.987073,0.000000,0.102971
0.010000,18.772166,0.951217,18.810891,33.585522,29.987073,0.000000,0.105043
0.010000,19.107624,0.986940,19.148245,33.885392,29.987073,0.000000,0.107140
0.010000,19.445987,1.023695,19.488599,34.185263,29.987073,0.000000,0.109264
0.010000,19.787251,1.061503,19.831951,34.485134,29.987073,0.000000,0.111416
0.010000,20.131412,1.100387,20.178301,34.785005,29.987073,-0.000000,0.113594
0.010000,20.478466,1.140368,20.527651,35.084875,29.987073,0.000000,0.115799
0.010000,20.828408,1.181469,20.879999,35.384746,29.987073,-0.000000,0.118033
0.010000,21.181235,1.223713,21.235346,35.684617,29.987073,0.000000,0.120294
0.010000,21.536941,1.267123,21.593691,35.984487,29.987073,0.000000,0.122583
0.010000,21.895523,1.311721,21.955035,36.284358,29.987073,0.000000,0.124900
0.010000,22.256974,1.357533,22.319378,36.584229,29.987073,-0.000000,0.127246
0.010000,22.621290,1.404582,22.686720,36.884100,29.987073,0.000000,0.129620
0.010000,22.988466,1.452892,23.057060,37.183970,29.987073,-0.000000,0.132024
0.010000,23.358496,1.502489,23.430399,37.483841,29.987073,-0.000000,0.134457
0.010000,23.731374,1.553396,23.806737,37.783712,29.987073,0.000000,0.136919
0.010000,24.107096,1.605640,24.186074,38.083583,29.987073,0.000000,0.139411
0.010000,24.485654,1.659247,24.568409,38.383453,29.987073,-0.000000,0.141933
0.010000,24.867044,1.714241,24.953743,38.683324,29.987073,0.000000,0.144486
0.010000,25.251257,1.770651,25.342075,38.983195,29.987073,-0.000000,0.147069
0.010000,25.638289,1.828501,25.733407,39.283065,29.987073,0.000000,0.149682
0.010000,26.028131,1.887821,26.127737,39.582936,29.987073,0.000000,0.152327
0.010000,26.420778,1.948636,26.525065,39.882807,29.987073,0.000000,0.155003
